,Type,rxn_smiles
79,Diels-Alder,COC=CC=CC(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@H]1C=C[C@@H](OC)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
80,Diels-Alder,COC=CC=COC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C[C@H](OC(C)=O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
81,Diels-Alder,CNC=CC=COC.O=C1C=CC(=O)c2c(O)cccc21>>CN[C@H]1C=C[C@@H](OC)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
82,Diels-Alder,COC=CC=CSC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=C[C@H](SC)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
83,Diels-Alder,C=CC=COC.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@@H]1C=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
84,Diels-Alder,C=CC(C)=CO.O=C1C=CC(=O)c2c(O)cccc21>>CC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1O
85,Diels-Alder,C=CC(F)=CO.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2c(O)cccc2C(=O)[C@H]2CC=C(F)[C@@H](O)[C@@H]12
86,Diels-Alder,C=CC(=CO)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1O
87,Diels-Alder,C=CC(O)=CO.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2c(O)cccc2C(=O)[C@H]2CC=C(O)[C@@H](O)[C@@H]12
88,Diels-Alder,C=CC(C#N)=CO.O=C1C=CC(=O)c2c(O)cccc21>>N#CC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1O
89,Diels-Alder,C=CC(=CO)C(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)C1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1O
90,Diels-Alder,C=CC(=CO)OC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)OC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1O
91,Diels-Alder,C=CC(=CO)NC.O=C1C=CC(=O)c2c(O)cccc21>>CNC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1O
92,Diels-Alder,C=CC(=CO)SC.O=C1C=CC(=O)c2c(O)cccc21>>CSC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1O
93,Diels-Alder,C=C(C)C=CO.O=C1C=CC(=O)c2c(O)cccc21>>CC1=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
94,Diels-Alder,C=C(F)C=CO.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2c(O)cccc2C(=O)[C@H]2CC(F)=C[C@@H](O)[C@@H]12
95,Diels-Alder,C=C(C=CO)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC1=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
96,Diels-Alder,C=C(O)C=CO.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2c(O)cccc2C(=O)[C@H]2CC(O)=C[C@@H](O)[C@@H]12
97,Diels-Alder,C=C(C#N)C=CO.O=C1C=CC(=O)c2c(O)cccc21>>N#CC1=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
98,Diels-Alder,C=C(C=CO)C(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)C1=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
99,Diels-Alder,C=C(C=CO)OC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)OC1=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
100,Diels-Alder,C=C(C=CO)NC.O=C1C=CC(=O)c2c(O)cccc21>>CNC1=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
101,Diels-Alder,C=C(C=CO)SC.O=C1C=CC(=O)c2c(O)cccc21>>CSC1=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
102,Diels-Alder,CC=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>C[C@H]1C=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
103,Diels-Alder,O=C1C=CC(=O)c2c(O)cccc21.OC=CC=CF>>O=C1c2cccc(O)c2C(=O)[C@H]2[C@@H]1[C@@H](F)C=C[C@H]2O
104,Diels-Alder,COC=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@H]1C=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
105,Diels-Alder,O=C1C=CC(=O)c2c(O)cccc21.OC=CC=CO>>O=C1c2cccc(O)c2C(=O)[C@H]2[C@@H]1[C@@H](O)C=C[C@H]2O
106,Diels-Alder,N#CC=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@H]1C=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
107,Diels-Alder,COC(=O)C=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@H]1C=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
108,Diels-Alder,CC(=O)OC=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@H]1C=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
109,Diels-Alder,CNC=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>CN[C@H]1C=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
110,Diels-Alder,CSC=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>CS[C@H]1C=C[C@@H](O)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
111,Diels-Alder,C=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>O=C1c2c(O)cccc2C(=O)[C@H]2CC=C[C@@H](O)[C@@H]12
112,Diels-Alder,C=CC(C)=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>CC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C#N
113,Diels-Alder,C=CC(F)=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@@H]1C(F)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
114,Diels-Alder,C=CC(=CC#N)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C#N
115,Diels-Alder,C=CC(O)=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@@H]1C(O)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
116,Diels-Alder,C=CC(C#N)=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>N#CC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C#N
117,Diels-Alder,C=CC(=CC#N)C(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)C1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C#N
118,Diels-Alder,C=CC(=CC#N)OC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)OC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C#N
119,Diels-Alder,C=CC(=CC#N)NC.O=C1C=CC(=O)c2c(O)cccc21>>CNC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C#N
120,Diels-Alder,C=CC(=CC#N)SC.O=C1C=CC(=O)c2c(O)cccc21>>CSC1=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]2[C@@H]1C#N
121,Diels-Alder,C=C(C)C=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>CC1=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
122,Diels-Alder,C=C(F)C=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@@H]1C=C(F)C[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
123,Diels-Alder,C=C(C=CC#N)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC1=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
124,Diels-Alder,C=C(O)C=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@@H]1C=C(O)C[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
125,Diels-Alder,C=C(C#N)C=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>N#CC1=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
126,Diels-Alder,C=C(C=CC#N)C(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)C1=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
127,Diels-Alder,C=C(C=CC#N)OC(C)=O.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)OC1=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
128,Diels-Alder,C=C(C=CC#N)NC.O=C1C=CC(=O)c2c(O)cccc21>>CNC1=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
